Emer_to_har,Seedling_stage,total_length,Max_temp,Min_temp,Temp_range,Total_precip_days,Wet_day_freq,Drought_days,hum,Sun_light,NDVI_veg,NDVI_repro,NDVI_ripe,EVI_veg,EVI_repro,EVI_ripe,SAVI_veg,SAVI_repro,SAVI_ripe,Rice_yield
125,24,149,33.29,18.77,14.52,486.9000051,38,6,73.9688347,26735.25,0.515643663,0.7991,0.769450853,0.387235348,0.692425962,0.661138439,0.350609699,0.552561044,0.567100993,8228.205128
125,21,146,33.29,18.77,14.52,491.5000061,53,8,78.0461713,36039.14,0.435523045,0.875168375,0.645046536,0.308780585,0.733614379,0.522721458,0.280311033,0.647897357,0.459540969,9055.445545
125,20,145,33.29,18.77,14.52,491.5000061,46,10,76.79166664,35097.09,0.724331374,0.803444804,0.408335148,0.502833604,0.640750145,0.253493092,0.461343889,0.566092843,0.261158749,9611.827957
120,16,136,33.29,18.25,15.04,491.6000064,39,5,75.21123183,24020.73,0.649037456,0.815255952,0.64917712,0.452624443,0.684068888,0.493571341,0.406096066,0.56980992,0.439397483,8544.086022
120,16,136,33.29,18.25,15.04,491.6000064,54,23,62.0192306,45049.81,0.703782297,0.86235378,0.7351,0.533329405,0.783816833,0.5597,0.485474511,0.658872535,0.558,9255.555556
120,16,136,33.29,18.25,15.04,493.5000065,48,9,78.80608963,31624.06,0.561714962,0.847370059,0.707971771,0.436522361,0.68112144,0.577055143,0.402782757,0.600214071,0.531173904,8951.111111
122,16,138,33.24,18.25,14.99,500.4000068,56,23,63.1550592,43983.47,0.479767959,0.855742958,0.739777035,0.343010887,0.719321519,0.586403522,0.317738437,0.621384991,0.532928567,10250.49505
120,7,127,33.24,18.25,14.99,455.2000049,53,8,78.11196158,35372.42,0.399486628,0.91157995,0.858505154,0.284406907,0.716590674,0.687121085,0.260577625,0.647414188,0.61681268,10162.29508
122,7,129,33.24,18.25,14.99,458.6000056,53,7,81.78750003,28149.47,0.69235,0.817936408,0.49235,0.55142,0.731353726,0.47143,0.491545,0.61754,0.4155542,8354.098361
123,7,130,33.24,18.25,14.99,461.2000056,60,6,74.58449053,29273.74,0.5011345,0.819913028,0.6724413,0.592245,0.75273959,0.5203455,0.364573,0.635585876,0.424322,9186.393443
121,5,126,32.22,18.25,13.97,520.3000096,60,6,74.58449053,29273.74,0.4992454,0.825975928,0.6844134,0.48332,0.746510583,0.4721114,0.3055345,0.631908002,0.48675,9709.137931
120,11,131,33.73,16.9,16.83,502.400006,48,7,82.10719371,24807.24,0.683313,0.848917647,0.5635014,0.4135528,0.677513558,0.592442,0.473423,0.61932,0.4148852,9320
120,11,131,33.73,16.9,16.83,502.400006,50,8,78.02372269,34654.47,0.43998831,0.82269282,0.72342,0.321129487,0.688379823,0.672342,0.295130552,0.595631176,0.49235,8404.761905
120,11,131,33.73,16.9,16.83,502.400006,54,21,63.89598534,41965.07,0.539267341,0.794199807,0.654860644,0.468314286,0.744498424,0.51404328,0.386984581,0.6292248,0.461826276,8778.333333
122,11,133,34.35,16.9,17.45,493.2000065,60,6,74.30051351,30328.49,0.59113,0.801309955,0.62456,0.394576,0.695664532,0.499452,0.414563,0.600901758,0.4655558,8741.165049
122,11,133,34.35,16.9,17.45,493.2000065,54,10,78.90754245,33149.67,0.563414849,0.857940431,0.797919797,0.377735334,0.708706445,0.596660475,0.355481619,0.620119064,0.558826701,9941.717791
121,12,133,34.47,16.9,17.57,494.5000063,50,7,82.225,26145.01,0.733297789,0.840292505,0.657025065,0.468920994,0.649890682,0.46475193,0.435642897,0.574218629,0.453010521,8815.092025
