emer_season,emer_har,seed_stage,total_length,avg_temp,max_temp,min_temp,temp_range,total_precip,precip_airport_meteo,precip_airport,wet_day_freq,drought_days,hum,sunlight,NDVI_veg,NDVI_repro,NDVI_ripe,EVI_veg,EVI_repro,EVI_ripe,SAVI_veg,SAVI_repro,SAVI_ripe,yield
JJA,131,4,135,23.09,32.23,17.64,14.59,570.799996,701.35,648.4,45,23,64.7662601,37596.39,0.700643359,0.88616881,0.699858077,0.516386894,0.582366737,0.556814157,0.449610054,0.553627847,0.515192379,9417.021277
SON,120,19,139,22.43,30.68,18.13,12.55,530.1000131,913.35,1064.4,48,18,71.65943517,37843.61,0.555186638,0.804158178,0.445454619,0.330744269,0.527494411,0.379574787,0.322090449,0.508429441,0.320789239,7348.888889
MAM,120,21,141,23.26,31.59,17.71,13.88,548.4999993,716.5,720.4,50,8,70.69484417,38533.13,0.651655044,0.807412294,0.690265459,0.427076723,0.582317625,0.470179767,0.408207437,0.529103127,0.441116926,8507.631579
DJF,121,24,145,22.17,30.68,17.83,12.85,563.400004,934.9,1222.2,51,8,70.13564485,38809,0.551776602,0.802303974,0.671708887,0.356475939,0.565266916,0.450973644,0.344736016,0.518182229,0.423025512,8051.428571
MAM,111,11,122,23.9,34.35,16.9,17.45,453.7000059,640,713.2,54,21,63.79227935,41927.49,0.64397644,0.868475801,0.588876166,0.503690206,0.761436024,0.468906738,0.428519598,0.652992441,0.428437693,10074.28571
SON,129,11,140,22.23,30.45,15.81,14.64,474.3000001,535.85,569.6,43,20,64.59882014,42307.74,0.363214957,0.743817069,0.542415951,0.21204696,0.527537347,0.422382204,0.216547962,0.466356143,0.366282505,8172.368421
SON,118,12,130,22.22,30.45,15.81,14.64,456.8999996,773,907,59,23,62.91329626,42563.3,0.353206796,0.7626691,0.69315234,0.258501046,0.531802153,0.507612175,0.242874514,0.487017788,0.478787511,7565.428571
MAM,127,7,134,23.1,30.77,17.71,13.06,443.8000034,592,692.6,57,23,62.91271258,42970.53,0.376198734,0.835649599,0.67390571,0.266054753,0.648419871,0.501405132,0.25087081,0.575199085,0.473933816,8260.254237
DJF,115,29,144,22.17,30.68,17.83,12.85,547.6000051,934.9,1222.2,47,21,66.921916,43296.07,0.438702504,0.717258758,0.732801715,0.220115391,0.512602994,0.518418405,0.233144084,0.455355431,0.474663563,7105.617978
DJF,118,11,129,22.22,30.68,17.83,12.85,466.8000042,912.65,1182.1,59,23,64.32077592,44814.12,0.50582717,0.774603086,0.794774706,0.38977088,0.627798496,0.613655186,0.352107055,0.554873999,0.565054114,9065.957447
SON,121,10,131,22.05,30.68,18.13,12.55,551.4000109,806.45,1006.8,47,20,68.5126813,46647.63,0.623408587,0.734302616,0.694754142,0.391337203,0.522993143,0.431609769,0.381300467,0.474022308,0.404561067,9079.142857
